station_id,longitude,latitude,utc_time,temperature,pressure,humidity,wind_direction,wind_speed,weather,PM2.5,PM10,NO2,CO,O3,SO2
miyun,116.86416666666666,40.3775,2017-01-30 16:00:00,-6.6,1023.3,28,40.0,0.2,Haze,79.0,53.0,42.0,1.9,17.0,21.0
miyun,116.86416666666666,40.3775,2017-01-30 17:00:00,-6.6,1022.9,29,71.0,0.4,Haze,71.0,74.0,36.0,1.9,20.0,21.0
miyun,116.86416666666666,40.3775,2017-01-30 18:00:00,-6.6,1022.8,32,84.0,0.5,Haze,75.0,80.0,36.0,1.8,16.0,18.0
miyun,116.86416666666666,40.3775,2017-01-30 19:00:00,-6.7,1022.1,33,59.0,0.9,Sunny/clear,76.0,56.0,35.0,1.9,15.0,14.0
miyun,116.86416666666666,40.3775,2017-01-30 20:00:00,-7.3,1021.3,38,46.0,0.7,Sunny/clear,64.0,46.0,35.0,1.8,31.0,13.0
miyun,116.86416666666666,40.3775,2017-01-30 21:00:00,-7.7,1020.7,42,111.0,0.8,Sunny/clear,59.0,63.0,49.0,1.8,17.0,13.0
miyun,116.86416666666666,40.3775,2017-01-30 22:00:00,-8.3,1020.4,47,103.0,0.5,Sunny/clear,54.0,48.0,29.0,1.6,21.0,13.0
miyun,116.86416666666666,40.3775,2017-01-30 23:00:00,-8.6,1020.4,53,118.0,1.2,Sunny/clear,52.0,53.0,30.0,1.5,18.0,11.0
miyun,116.86416666666666,40.3775,2017-01-31 00:00:00,-8.5,1020.6,59,131.0,1.3,Sunny/clear,52.0,62.0,30.0,1.3,17.0,10.0
miyun,116.86416666666666,40.3775,2017-01-31 01:00:00,-5.3,1020.8,47,85.0,1.2,Sunny/clear,60.0,80.0,29.0,1.5,20.0,14.0
miyun,116.86416666666666,40.3775,2017-01-31 02:00:00,-2.8,1020.6,28,68.0,1.4,Sunny/clear,66.0,87.0,31.0,1.2,31.0,17.0
miyun,116.86416666666666,40.3775,2017-01-31 03:00:00,-0.5,1020.2,17,90.0,1.3,Sunny/clear,76.0,98.0,30.0,1.1,50.0,32.0
miyun,116.86416666666666,40.3775,2017-01-31 04:00:00,1.1,1019.4,14,13.0,1.4,Sunny/clear,85.0,99.0,26.0,0.1,69.0,31.0
miyun,116.86416666666666,40.3775,2017-01-31 05:00:00,2.4,1018.0,13,29.0,1.4,Sunny/clear,72.0,79.0,23.0,0.8,78.0,24.0
miyun,116.86416666666666,40.3775,2017-01-31 06:00:00,3.4,1017.2,12,132.0,1.2,Sunny/clear,62.0,82.0,22.0,0.8,81.0,22.0
miyun,116.86416666666666,40.3775,2017-01-31 07:00:00,4.0,1016.9,11,63.0,1.8,Sunny/clear,54.0,81.0,23.0,0.7,79.0,21.0
miyun,116.86416666666666,40.3775,2017-01-31 08:00:00,3.9,1016.9,12,96.0,1.4,Sunny/clear,49.0,61.0,25.0,0.7,79.0,27.0
miyun,116.86416666666666,40.3775,2017-01-31 09:00:00,2.4,1017.7,13,24.0,0.5,Sunny/clear,47.0,64.0,26.0,0.6,75.0,23.0
miyun,116.86416666666666,40.3775,2017-01-31 10:00:00,-2.6,1018.7,20,28.0,1.1,Haze,47.0,69.0,44.0,0.8,51.0,28.0
miyun,116.86416666666666,40.3775,2017-01-31 11:00:00,-5.0,1019.7,25,114.0,0.8,Haze,69.0,99.0,53.0,1.3,33.0,23.0
miyun,116.86416666666666,40.3775,2017-01-31 12:00:00,-5.2,1020.8,29,104.0,1.7,Haze,83.0,105.0,53.0,1.3,28.0,20.0
miyun,116.86416666666666,40.3775,2017-01-31 13:00:00,-1.1,1021.7,21,52.0,2.5,Sunny/clear,77.0,93.0,60.0,1.4,16.0,17.0
miyun,116.86416666666666,40.3775,2017-01-31 14:00:00,-0.8,1023.0,20,47.0,2.2,Sunny/clear,21.0,33.0,16.0,0.5,66.0,6.0
miyun,116.86416666666666,40.3775,2017-01-31 15:00:00,-3.7,1024.2,26,31.0,1.6,Sunny/clear,18.0,38.0,21.0,0.6,57.0,6.0
miyun,116.86416666666666,40.3775,2017-01-31 16:00:00,-2.9,1025.1,24,22.0,1.7,Sunny/clear,10.0,27.0,14.0,0.5,63.0,4.0
miyun,116.86416666666666,40.3775,2017-01-31 17:00:00,-3.1,1025.8,24,30.0,1.9,Sunny/clear,10.0,23.0,11.0,0.4,64.0,3.0
miyun,116.86416666666666,40.3775,2017-01-31 18:00:00,-2.9,1026.6,23,32.0,2.4,Sunny/clear,6.0,19.0,10.0,0.3,64.0,2.0
miyun,116.86416666666666,40.3775,2017-01-31 19:00:00,-4.1,1027.5,24,46.0,1.9,Sunny/clear,3.0,15.0,9.0,0.3,66.0,3.0
miyun,116.86416666666666,40.3775,2017-01-31 20:00:00,-4.3,1028.0,26,29.0,3.0,Sunny/clear,3.0,16.0,13.0,0.3,61.0,9.0
miyun,116.86416666666666,40.3775,2017-01-31 21:00:00,-5.1,1028.8,28,37.0,2.1,Sunny/clear,5.0,18.0,16.0,0.4,55.0,5.0
miyun,116.86416666666666,40.3775,2017-01-31 22:00:00,-5.3,1029.5,26,31.0,2.4,Sunny/clear,3.0,11.0,12.0,0.3,65.0,2.0
miyun,116.86416666666666,40.3775,2017-01-31 23:00:00,-5.5,1030.6,24,37.0,2.2,Sunny/clear,3.0,12.0,14.0,0.2,63.0,2.0
miyun,116.86416666666666,40.3775,2017-02-01 00:00:00,-5.7,1031.6,24,46.0,2.7,Sunny/clear,3.0,17.0,15.0,0.2,63.0,4.0
miyun,116.86416666666666,40.3775,2017-02-01 01:00:00,-3.7,1031.7,20,38.0,3.8,Sunny/clear,6.0,15.0,12.0,0.3,67.0,6.0
miyun,116.86416666666666,40.3775,2017-02-01 02:00:00,-2.3,1031.5,15,50.0,3.8,Sunny/clear,5.0,12.0,7.0,0.3,75.0,4.0
miyun,116.86416666666666,40.3775,2017-02-01 03:00:00,-0.7,1031.0,14,52.0,3.7,Sunny/clear,3.0,10.0,6.0,0.2,76.0,14.0
miyun,116.86416666666666,40.3775,2017-02-01 04:00:00,0.7,1030.2,13,45.0,2.7,Sunny/clear,3.0,8.0,6.0,0.2,77.0,5.0
miyun,116.86416666666666,40.3775,2017-02-01 05:00:00,1.4,1029.0,11,39.0,2.8,Sunny/clear,3.0,6.0,5.0,0.2,82.0,3.0
miyun,116.86416666666666,40.3775,2017-02-01 06:00:00,2.6,1027.9,11,44.0,2.3,Sunny/clear,3.0,6.0,6.0,0.2,83.0,6.0
miyun,116.86416666666666,40.3775,2017-02-01 07:00:00,3.3,1027.5,10,134.0,1.3,Sunny/clear,3.0,6.0,8.0,0.2,80.0,6.0
miyun,116.86416666666666,40.3775,2017-02-01 08:00:00,4.0,1027.2,10,318.0,0.8,Sunny/clear,3.0,8.0,10.0,0.2,86.0,6.0
miyun,116.86416666666666,40.3775,2017-02-01 09:00:00,2.5,1026.9,11,265.0,0.5,Sunny/clear,6.0,17.0,12.0,0.2,79.0,5.0
miyun,116.86416666666666,40.3775,2017-02-01 10:00:00,-0.1,1027.0,14,231.0,1.1,Sunny/clear,9.0,13.0,21.0,0.3,68.0,6.0
miyun,116.86416666666666,40.3775,2017-02-01 11:00:00,-4.8,1027.1,21,92.0,0.7,Sunny/clear,51.0,74.0,55.0,0.1,24.0,19.0
miyun,116.86416666666666,40.3775,2017-02-01 12:00:00,-6.3,1027.0,25,82.0,1.2,Haze,82.0,135.0,47.0,0.1,24.0,23.0
miyun,116.86416666666666,40.3775,2017-02-01 13:00:00,-7.4,1026.9,28,67.0,1.1,Haze,111.0,143.0,47.0,1.3,20.0,24.0
miyun,116.86416666666666,40.3775,2017-02-01 14:00:00,-8.1,1026.5,30,85.0,1.2,Haze,104.0,124.0,45.0,1.7,18.0,24.0
miyun,116.86416666666666,40.3775,2017-02-01 15:00:00,-9.3,1026.4,39,87.0,1.0,Haze,100.0,128.0,38.0,1.5,22.0,31.0
miyun,116.86416666666666,40.3775,2017-02-01 16:00:00,-8.9,1026.3,46,97.0,1.6,Sunny/clear,50.0,58.0,26.0,1.1,32.0,12.0
